name,address,city,province,holes,latitude,longitude,google_maps_link
Benoni Country Club,"Morris Ave, Morehill",Benoni,Gauteng,18,-26.17223,28.342534,https://www.google.com/maps/search/?api=1&query=-26.17223%2C28.342534
Ebotse Golf & Country Estate,"Sarel Cilliers Street, Rynfield",Benoni,Gauteng,18,-26.155744,28.351378,https://www.google.com/maps/search/?api=1&query=-26.155744%2C28.351378
Saps Mechanics Golf Course,"Hospital Road, Northmead",Benoni,Gauteng,9,-26.160655,28.309101,https://www.google.com/maps/search/?api=1&query=-26.160655%2C28.309101
The Lake Golf Club - Benoni,Lakefield Ave,Benoni,Gauteng,18,-26.18281,28.296914,https://www.google.com/maps/search/?api=1&query=-26.18281%2C28.296914
Blyvooruitzicht Golf Course,6th Avenue,Blyvooruitzicht,Gauteng,18,-26.406204,27.392101,https://www.google.com/maps/search/?api=1&query=-26.406204%2C27.392101
ERPM Golf Course,Pretoria Rd,Boksburg West,Gauteng,18,-26.197756,28.22796,https://www.google.com/maps/search/?api=1&query=-26.197756%2C28.22796
Royal Oak Country Club,"1 Prince George Avenue, Anzac",Brakpan,Gauteng,18,-26.226474,28.359101,https://www.google.com/maps/search/?api=1&query=-26.226474%2C28.359101
State Mines Country Club,30 Hewitt Avenue,Brakpan,Gauteng,18,-26.208774,28.374259,https://www.google.com/maps/search/?api=1&query=-26.208774%2C28.374259
Bronkhorstspruit Golf Club,Luiperd Str.,Bronkhorstspruit,Gauteng,18,-25.807957,28.724643,https://www.google.com/maps/search/?api=1&query=-25.807957%2C28.724643
Bryanston Country Club,Corner Bryanston Drive and Grosvenor Road,Bryanston,Gauteng,18,-26.061974,28.012583,https://www.google.com/maps/search/?api=1&query=-26.061974%2C28.012583
Dainfern Golf and Country Estate,"Dainfern Estate, Cedar Road",Bryanston,Gauteng,18,-25.988932,27.997434,https://www.google.com/maps/search/?api=1&query=-25.988932%2C27.997434
Dimension Data Mashie Golf Course,Campus - Cnr Main & Sloane,Bryanston,Gauteng,9,-26.042178,28.021382,https://www.google.com/maps/search/?api=1&query=-26.042178%2C28.021382
Goldfields West Golf Club,West Driefontein Mine,Carletonville,Gauteng,18,-26.391189,27.473949,https://www.google.com/maps/search/?api=1&query=-26.391189%2C27.473949
Blue Valley Golf & Country Estate,"Samrand Avenue, Midrand",Centurion,Gauteng,18,-25.934755,28.123697,https://www.google.com/maps/search/?api=1&query=-25.934755%2C28.123697
Centurion Golf Club,John Vorster Avenue,Centurion,Gauteng,18,-25.873148,28.204789,https://www.google.com/maps/search/?api=1&query=-25.873148%2C28.204789
Centurion Lake Golf Course,200 Kwikkie Crescent,Centurion,Gauteng,9,-25.850023,28.181102,https://www.google.com/maps/search/?api=1&query=-25.850023%2C28.181102
The Els Club Copperleaf,Ernie Els Boulevard,Centurion,Gauteng,18,-25.880163,28.047817,https://www.google.com/maps/search/?api=1&query=-25.880163%2C28.047817
Crown Mines Golf Course,Booysens Reserve Rd,Crown Mines,Gauteng,18,-26.234176,27.991507,https://www.google.com/maps/search/?api=1&query=-26.234176%2C27.991507
Cullinan Golf Club,Main Road,Cullinan,Gauteng,18,-25.670384,28.524669,https://www.google.com/maps/search/?api=1&query=-25.670384%2C28.524669
Daveyton Golf Course,Cnr Eislan and Sibeko Street,Daveyton,Gauteng,18,-26.127849,28.442852,https://www.google.com/maps/search/?api=1&query=-26.127849%2C28.442852
Eye of Africa Golf Estate,33 Cayman Road,Eikenhof,Gauteng,18,-26.3623,28.02146,https://www.google.com/maps/search/?api=1&query=-26.3623%2C28.02146
Sun Valley Golf Course,Perdekop Road,Eikenhof,Gauteng,18,-26.420301,28.023142,https://www.google.com/maps/search/?api=1&query=-26.420301%2C28.023142
Serengeti Golf & Wildlife Estate ~ Signature Course,"R25 (Just off the R21), Kempton Park",Ekurhuleni,Gauteng,18,-26.041557,28.289885,https://www.google.com/maps/search/?api=1&query=-26.041557%2C28.289885
Serengeti Golf & Wildlife Estate ~ Whistling Thorn,"R25 (Just off the R21), Kempton Park",Ekurhuleni,Gauteng,18,-26.041557,28.289885,https://www.google.com/maps/search/?api=1&query=-26.041557%2C28.289885
Blair Atholl Golf Club,"R512, Lanseria",Fourways,Gauteng,18,-25.906934,27.919317,https://www.google.com/maps/search/?api=1&query=-25.906934%2C27.919317
Germiston Country Club,Rand Airport Rd,Germiston,Gauteng,18,-26.233125,28.153028,https://www.google.com/maps/search/?api=1&query=-26.233125%2C28.153028
Glenvista Country Club,Vorster Ave,Glenvista,Gauteng,18,-26.281408,28.056084,https://www.google.com/maps/search/?api=1&query=-26.281408%2C28.056084
Heidelberg Golf Course,2 Station Road,Heidelberg,Gauteng,9,-26.505997,28.374295,https://www.google.com/maps/search/?api=1&query=-26.505997%2C28.374295
Eagle Canyon Country Club,3 Blueberry Street,Honeydew,Gauteng,18,-26.086636,27.923592,https://www.google.com/maps/search/?api=1&query=-26.086636%2C27.923592
Houghton Golf Club,2nd Avenue,Houghton,Gauteng,18,-26.164295,28.069787,https://www.google.com/maps/search/?api=1&query=-26.164295%2C28.069787
Irene Country Club,1 Main Road,Irene,Gauteng,18,-25.884078,28.222805,https://www.google.com/maps/search/?api=1&query=-25.884078%2C28.222805
Royal Johannesburg & Kensington Golf Club ~ East Course,1 Fairway Avenue,Johannesburg,Gauteng,18,-26.155669,28.108031,https://www.google.com/maps/search/?api=1&query=-26.155669%2C28.108031
Royal Johannesburg & Kensington Golf Club ~ West Course,1 Fairway Avenue,Johannesburg,Gauteng,18,-26.155669,28.108031,https://www.google.com/maps/search/?api=1&query=-26.155669%2C28.108031
World of Golf Wedge & Putt Course,Cnr Woodmead and Maxwell Drive,Johannesburg,Gauteng,9,-26.042943,28.093239,https://www.google.com/maps/search/?api=1&query=-26.042943%2C28.093239
